left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle
169.62871864828256,167.52437049492963,160.2645645446071,203.9912910034328,186.3510367412474,181.9058698906912
163.57550863775325,170.56794497326516,165.31121322668162,195.4217853202381,181.17439094320537,177.6006061074309
163.57550863775325,170.56794497326516,165.31121322668162,195.4217853202381,181.17439094320537,177.6006061074309
196.48935593014247,190.00250648782568,209.8231013146264,150.11361062740656,182.6118647184281,183.0126579879508
195.38465739225063,196.86363819706057,193.3392489033634,167.26607486423853,172.8962774393821,173.23510323015466
196.1530743910504,183.6727969642098,177.02105024739012,190.33277651244424,178.544472985221,177.50607219836604
183.15710201691743,174.26609679239428,180.90610076793217,187.23819705600343,184.77889404448288,183.9781934228672
184.21442825480588,177.57366416839764,216.51619165479528,140.45675472056914,182.0454084888872,187.16730010372504
160.43123854256697,164.34421804115007,172.46355473375692,188.88443876919465,169.42333012062477,172.61734760805226
172.99890554885815,189.47454474872487,198.54827075704992,155.62490880569115,181.2389829718611,180.12488672711706
193.6314630638529,196.9458341679848,194.94591265249005,163.3235797375171,178.09748320861286,177.40084110281714
164.11794932424974,166.219079635383,173.76745878231372,195.08751765306224,175.82598282462897,180.24032693562305
165.96375653207352,218.310684602366,13.663229340128504,327.78208705497013,176.796072882242,187.08664007901228
184.35559611777592,185.3433527966824,171.25135489018524,193.24521508633828,191.82490113157064,171.77600972273072
196.48935593014247,190.00250648782568,209.8231013146264,150.11361062740656,182.6118647184281,183.0126579879508
194.6002431697713,175.937067878649,157.62525326584708,15.72888349839653,174.69529333044733,175.0732669778107
196.32238841147768,194.1874713619607,177.2587708886236,186.92441608026337,181.7198526286756,183.8152461917648
192.62136537287745,197.59687858283883,172.64422457203318,180.3608503832492,175.33945451741968,177.05706605392885
160.43123854256697,164.34421804115007,172.46355473375692,188.88443876919465,169.42333012062477,172.61734760805226
164.486081177132,165.73021524592016,189.2561338025818,185.28193667168352,171.66735425853585,174.67608104305526
196.57353234526377,196.50058434365687,168.1893680915873,195.91815921415727,180.72942074678733,181.79642515015144
164.486081177132,165.73021524592016,189.2561338025818,185.28193667168352,171.66735425853585,174.67608104305526
193.37983679862376,197.99733946671424,178.52022627037576,176.793497104502,179.58184525047483,190.364657477518
222.9926005956129,215.60255285290023,311.0672220984302,57.84265460697701,82.65654170578071,86.31464218700404
165.87206240445835,165.79571675628085,155.3294297255378,204.52052448775643,185.76188011896184,184.23457448839304
194.52467240053352,199.6449492471712,240.05012752331368,131.45160204960985,162.0347158144,149.28333410094984
193.5648994249445,187.8824989710945,193.88671154249195,166.50452636618297,181.52638262594053,182.2338092601429
124.5325917867202,158.14560633777884,144.00289379618715,214.4382669762476,183.4439510389704,180.1649812209473
195.38465739225063,196.86363819706057,193.3392489033634,167.26607486423853,172.8962774393821,173.23510323015466
124.5325917867202,158.14560633777884,144.00289379618715,214.4382669762476,183.4439510389704,180.1649812209473
193.37983679862376,197.99733946671424,178.52022627037576,176.793497104502,179.58184525047483,190.364657477518
163.03252221011184,158.27313772889107,183.6590333823988,179.8035989074097,182.88158994901585,181.50748149379365
203.63532930220632,203.92550964609137,202.60951216019072,158.5888573841498,180.60829331708973,182.5307630176354
171.78079075110094,170.74762927225484,67.03722791463021,295.3100487168597,179.13681425306805,178.72947882633525
156.23275190312535,168.69277079465024,158.84179954773057,203.4985656759521,217.3353375678544,188.300897850575
172.5621966968401,160.2688446744971,188.3473862093208,176.9352108950102,182.19248892593947,183.81862771914012
209.05460409907712,197.0010306209441,190.8403054543305,171.88468874254147,133.43220893305192,167.98274815743554
198.94934278746115,193.56420264589283,179.54638881148065,181.10442593990905,181.7298836218131,185.5720403440476
160.94936546812275,161.43399975988677,170.53752239209666,189.1130464364739,171.48694773221953,172.95505834182214
256.6330693036832,165.06858282186246,328.19812048076113,48.84817946092505,174.62176488719362,173.64362127163852
181.25274298913743,190.00520246388425,183.23038970934127,176.6288717540978,179.17871457362574,178.8426669318705
165.52185635660368,171.0760115563686,189.0883235668236,171.03211131443317,184.36197729623572,184.63546342690265
170.51591990206597,158.90178033516952,188.04460647708305,177.49008106108658,181.8612652212412,184.392095320471
